"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0163","YEARLY","INDUSTRY","Auto.Arima",5428,5428,5428,5428,5428,5428
"N0163","YEARLY","INDUSTRY","BSTS",4889.55696540257,4792.77914722066,4740.99557406827,4686.72071299748,4656.67688081119,4645.62223094584
"N0163","YEARLY","INDUSTRY","ETS",4844.41552755453,4844.41552755453,4844.41552755453,4844.41552755453,4844.41552755453,4844.41552755453
"N0163","YEARLY","INDUSTRY","THETA",4744.26768988307,4691.12483274021,4637.98197559735,4584.8391184545,4531.69626131164,4478.55340416878
"N0163","YEARLY","INDUSTRY","BEA",5053.9908309857,5021.73155825839,5004.4703672076,4986.37874685067,4976.3641361219,4972.67925283346
"N0163","YEARLY","INDUSTRY","EAT",5005.5610724792,4987.84678676491,4970.13250105063,4952.41821533634,4934.70392962206,4916.98964390777
"N0163","YEARLY","INDUSTRY","BAT",5020.60821842855,4970.63465998696,4935.65918322188,4899.85327715066,4872.12438070761,4850.72521170487
"N0163","YEARLY","INDUSTRY","BET",4826.08006094672,4776.10650250513,4741.13102574005,4705.32511966883,4677.59622322578,4656.19705422305
"N0163","YEARLY","INDUSTRY","BEAT",4976.56004571004,4939.07987687885,4912.84826930504,4885.99383975163,4865.19716741934,4849.14779066729
"N0163","YEARLY","INDUSTRY","medianBEAT",4866.98624647855,4818.59733738759,4792.7055508114,4765.568120276,4750.54620418286,4745.01887925018
"N0163","YEARLY","INDUSTRY","meanBaggedBEAT",4956.03488888211,4925.00772770733,4904.84261728944,4891.88732611153,4874.43678296779,4841.08923612225
"N0163","YEARLY","INDUSTRY","medianBaggedBEAT",5091.91673387553,5078.16000537824,5069.52727654444,5061.98671472633,5050.03580075194,5038.09970517234
"N0163","YEARLY","INDUSTRY","meanPertBEAT",4986.37140922092,4954.14351046002,4903.39491111844,4879.66488861416,4849.11000573958,4856.85362465638
"N0163","YEARLY","INDUSTRY","medianPertBEAT",5089.11739298886,5052.09885561636,4941.30792269014,4934.4244156122,4917.12683434459,4975.762612216
