"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N1254","QUARTERLY","MACRO","Auto.Arima",3735.89402102101,3704.18795318487,3688.3083355904,3680.35521266611,3676.37198297733,3674.3770284287,3673.37787850212,3672.87746581028
"N1254","QUARTERLY","MACRO","BSTS",3624.78855291247,3508.11055593315,3417.27380719879,3265.03311226847,3082.74134155414,2957.65014703222,2859.37752765261,2697.64569168341
"N1254","QUARTERLY","MACRO","ETS",3712.1081193365,3642.43041881308,3586.68823579776,3542.09447130824,3506.41944525479,3477.87941284257,3455.04737765722,3436.78174210448
"N1254","QUARTERLY","MACRO","THETA",3809.4367670036,3819.65986318278,3829.88295936197,3840.10605554115,3850.32915172033,3860.55224789951,3870.7753440787,3880.99844025788
"N1254","QUARTERLY","MACRO","BEA",3690.93023108999,3618.24297597703,3564.09012619565,3495.82759874761,3421.84425659542,3369.96886276783,3329.26759460398,3269.10163319939
"N1254","QUARTERLY","MACRO","EAT",3752.47963578704,3722.09274506024,3701.62651025004,3687.5185798385,3677.70685998415,3670.9362297236,3666.40020007935,3663.55254939088
"N1254","QUARTERLY","MACRO","BAT",3723.37311364569,3677.3194574336,3645.15503405038,3595.16479349191,3536.48082541726,3497.52647445348,3467.84358341114,3417.17386591719
"N1254","QUARTERLY","MACRO","BET",3715.44447975085,3656.733612643,3611.28166745284,3549.07787970595,3479.82997950975,3432.0272692581,3395.06674979618,3338.47529134859
"N1254","QUARTERLY","MACRO","BEAT",3720.55686506839,3668.59719777847,3630.53833448723,3581.89721294599,3528.96548037665,3492.61470905075,3464.64453197266,3422.07583496401
"N1254","QUARTERLY","MACRO","medianBEAT",3724.00107017875,3673.30918599897,3637.49828569408,3611.22484198717,3591.39571411606,3576.12822063564,3564.21262807967,3554.82960395738
"N1254","QUARTERLY","MACRO","meanBaggedBEAT",3839.71938060657,3818.70247622369,3791.10098521238,3780.60083286621,3757.06746126527,3726.45831689002,3691.72125067,3652.27529019881
"N1254","QUARTERLY","MACRO","medianBaggedBEAT",3838.61362285405,3821.80207128632,3780.73471506251,3764.66690408702,3749.11079322518,3716.55217882062,3686.27237840144,3645.88484079428
"N1254","QUARTERLY","MACRO","meanPertBEAT",3828.4758755215,3826.90131267545,3834.02155763798,3833.50816865943,3838.88408970834,3829.13282312434,3814.5810628423,3791.74975432045
"N1254","QUARTERLY","MACRO","medianPertBEAT",3799.2460524999,3803.8604220963,3805.51757067172,3828.13964812595,3834.22329416461,3836.57671749816,3812.75713093866,3810.52312808318
