"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"N1972","MONTHLY","INDUSTRY","Auto.Arima",1669.10436208368,1494.48172515822,1258.2494821281,1373.15631924743,1045.62403367608,996.670659925347,1401.02592520402,1221.11427792856,1328.27167848625,1188.1074960764,1262.91964833811,1332.08147992905,1004.36501604179,949.972628049225,733.199996256111,834.459331801956,570.557735307144,532.767424474299
"N1972","MONTHLY","INDUSTRY","BSTS",1279.07308036401,956.599752329427,474.672006960032,822.874309832535,128.939859053003,100.761110415616,888.627090682713,463.152900886514,682.700580297971,269.33537075615,525.704862877133,707.763017745896,-262.213529958592,-605.096331689436,-1039.13426000661,-675.947103259586,-1376.59724126161,-1481.36685589766
"N1972","MONTHLY","INDUSTRY","ETS",1634.27739949079,1447.2598128951,1286.6437845063,1382.92737400092,1132.41642553177,1081.23267995967,1262.33536515778,1070.82871627154,1108.14614679085,947.90713564948,965.295018356385,974.787435654193,729.899160247229,607.65498100097,502.298895330821,494.768486839682,364.019278447992,303.593955210435
"N1972","MONTHLY","INDUSTRY","THETA",1731.7036226013,1575.72812793656,1475.36836505688,1663.77990004625,1408.80063329127,1443.43662358052,1771.53116296823,1617.25942153793,1784.21405106383,1590.61779726568,1743.68985217503,1893.68877777514,1556.84884194727,1415.27247661692,1323.846517828,1491.43297738378,1261.59567714375,1291.28773727107
"N1972","MONTHLY","INDUSTRY","BEA",1527.48494731283,1299.44709679425,1006.52175786481,1192.98600102696,768.993439420283,726.221483433544,1183.99612701484,918.365298362206,1039.70613519169,801.783334160676,917.973176523875,1004.87731110971,490.683548776811,317.510425786919,65.4548771934413,217.760238460684,-147.340075835493,-215.001825404309
"N1972","MONTHLY","INDUSTRY","EAT",1678.36179472526,1505.82322199663,1340.08721056376,1473.28786443153,1195.6136974997,1173.77998782185,1478.29748444334,1303.06747191268,1406.87729211364,1242.21080966385,1323.96817295651,1400.18589778613,1097.03767274543,990.966695222372,853.115136471643,940.220265341805,732.057563632963,709.216372318603
"N1972","MONTHLY","INDUSTRY","BAT",1559.96035501633,1342.26986847474,1069.42995138167,1286.60350970874,861.12150867345,846.956131307161,1353.72805961832,1100.50886678433,1265.06210328268,1016.02022136608,1177.43812113009,1311.17775848336,766.333442676825,586.716257658904,339.3040846925,549.981735308715,151.852057063094,114.22943528257
"N1972","MONTHLY","INDUSTRY","BET",1548.35136748536,1326.5292310537,1078.89471884107,1289.8605279599,890.052305958679,875.143471318602,1307.49787293624,1050.41367956533,1191.68692605088,935.953434557103,1078.22991113618,1192.07974372508,674.844824078637,472.610375309485,262.337051050736,436.751453654624,83.0059047767103,37.8382788612823
"N1972","MONTHLY","INDUSTRY","BEAT",1578.53961613494,1368.51735457983,1123.73340966283,1310.68447578178,928.945237888029,905.525268470288,1330.87988600319,1093.08882915614,1225.83311415972,998.991949936927,1124.40234543666,1227.08017777607,757.224872069426,591.95093849442,380.05278735208,536.178423191457,204.893862409319,161.570565264536
"N1972","MONTHLY","INDUSTRY","medianBEAT",1651.69088078724,1470.87076902666,1272.4466333172,1378.04184662417,1089.02022960392,1038.95166994251,1331.6806451809,1145.97149710005,1218.20891263855,1068.00731586294,1114.10733334725,1153.43445779162,867.132088144512,778.813804525097,617.749445793466,664.613909320819,467.288506877568,418.180689842367
"N1972","MONTHLY","INDUSTRY","meanBaggedBEAT",1703.3445306167,1533.82054060052,1530.73782069951,1591.46960539871,1305.04015115217,1262.64086830148,1583.61310885185,1459.54139495666,1412.02537913474,1341.78621608751,1365.70588106166,1422.20450187837,1175.52184484526,1073.12064815932,1027.24952634762,1106.97611894434,775.814949765981,808.964948521086
"N1972","MONTHLY","INDUSTRY","medianBaggedBEAT",1711.27871916994,1494.00461499005,1546.54512856382,1543.66136063655,1292.61110880007,1199.59890048586,1508.15576881834,1438.2702224799,1405.11953777038,1220.79221188032,1350.38665492025,1383.80892857165,1152.03711134353,1038.34267649117,966.303106364904,1069.45823189375,711.719179961382,766.521903348091
"N1972","MONTHLY","INDUSTRY","meanPertBEAT",1757.25369609811,1728.51984043214,1608.54751906213,1744.72675240816,1446.43091203597,1492.54038553084,1725.59970220802,1503.31446607697,1578.44164434317,1354.55349013226,1577.8992479556,1546.61959613572,1269.17399290169,1303.22800534959,1160.35972090481,1285.49883252391,1021.43690008321,1130.76143466267
"N1972","MONTHLY","INDUSTRY","medianPertBEAT",1794.40770996957,1718.92634188244,1678.09081766593,1771.42291646809,1507.8935646999,1494.91383246315,1690.31130882246,1564.89414534204,1605.70351711414,1377.72847042699,1516.36285665338,1541.25284634506,1321.02327881066,1299.99471472243,1240.55484304861,1320.61907644663,1106.24118345875,1067.41306890618
