"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N0901","QUARTERLY","Auto.Arima",0.524352062977812,0.468253821896841,23.4784180406265
"2","N0901","QUARTERLY","BSTS",0.465931877854213,0.423162727894201,21.3584423635965
"3","N0901","QUARTERLY","ETS",0.524351958612974,0.468253705028773,23.4784117471745
"4","N0901","QUARTERLY","THETA",0.501348454759803,0.457756590029751,23.1545632929898
"5","N0901","QUARTERLY","BEA",0.504692412006644,0.453223418273272,22.7717573837992
"6","N0901","QUARTERLY","EAT",0.516435569364039,0.464754705651788,23.3704643602636
"7","N0901","QUARTERLY","BAT",0.496975729031155,0.449724379940265,22.663807899071
"8","N0901","QUARTERLY","BET",0.496975693778984,0.449724340984242,22.6638058012536
"9","N0901","QUARTERLY","BEAT",0.503741493138786,0.454356711212392,22.8674588610969
"10","N0901","QUARTERLY","medianBEAT",0.510199837840663,0.45949656690891,23.111769679288
"11","N0901","QUARTERLY","meanBaggedBEAT",0.516605400874604,0.473557638999921,23.9826596150287
"12","N0901","QUARTERLY","medianBaggedBEAT",0.498539291507248,0.45574478258108,23.0583696990131
"13","N0901","QUARTERLY","meanPertBEAT",0.506858243990123,0.462648590511937,23.3919885189596
"14","N0901","QUARTERLY","medianPertBEAT",0.485060777570446,0.440087880038036,22.2044507904695
"15","N0902","QUARTERLY","Auto.Arima",0.0746190238981589,0.0638478472001889,6.79463102510074
"16","N0902","QUARTERLY","BSTS",0.156862694018323,0.146892685447834,15.5585961902523
"17","N0902","QUARTERLY","ETS",0.139790480956587,0.129985264407735,13.7859931562412
"18","N0902","QUARTERLY","THETA",0.137758922161499,0.128028888464421,13.5796247714698
"19","N0902","QUARTERLY","BEA",0.122469820124677,0.113575265685253,12.0464067905314
"20","N0902","QUARTERLY","EAT",0.116239962129421,0.107287333357449,11.3867496509373
"21","N0902","QUARTERLY","BAT",0.121797061161482,0.112923140370815,11.9776173289409
"22","N0902","QUARTERLY","BET",0.14470513600002,0.134968946106663,14.3080713726544
"23","N0902","QUARTERLY","BEAT",0.126227643127262,0.117188671380045,12.429711285766
"24","N0902","QUARTERLY","medianBEAT",0.138774077796464,0.129007076436078,13.6828089638555
"25","N0902","QUARTERLY","meanBaggedBEAT",0.0896015824188247,0.0801461841271055,8.54062902917956
"26","N0902","QUARTERLY","medianBaggedBEAT",0.0882105437003861,0.0786240016434547,8.38052392689003
"27","N0902","QUARTERLY","meanPertBEAT",0.0994052328843959,0.0892142200184271,9.50817318028745
"28","N0902","QUARTERLY","medianPertBEAT",0.10779769785982,0.0966580681783148,10.3036328203203
"29","N0903","QUARTERLY","Auto.Arima",0.0355548465137029,0.0299030172413793,2.90378602036584
"30","N0903","QUARTERLY","BSTS",0.0373728365298144,0.0289647705008241,2.87138578743659
"31","N0903","QUARTERLY","ETS",0.0367241691092872,0.0315009362582776,3.03795705608378
"32","N0903","QUARTERLY","THETA",0.0354867148162072,0.0299299067704913,2.89998396637651
"33","N0903","QUARTERLY","BEA",0.0341799106749834,0.0276295741493385,2.69648561865137
"34","N0903","QUARTERLY","EAT",0.0357725254296977,0.0303419928322497,2.9372413475087
"35","N0903","QUARTERLY","BAT",0.0342193656112024,0.0276622363101566,2.70454461412757
"36","N0903","QUARTERLY","BET",0.0339883626802942,0.0274731369772918,2.67929109622669
"37","N0903","QUARTERLY","BEAT",0.0343229948899448,0.028003636599964,2.72791407718647
"38","N0903","QUARTERLY","medianBEAT",0.0354751216220498,0.0297625211192358,2.88688349322116
"39","N0903","QUARTERLY","meanBaggedBEAT",0.0367432069976643,0.0317008186781281,3.05527676241209
"40","N0903","QUARTERLY","medianBaggedBEAT",0.0351781218059068,0.0295457507772839,2.87103661125754
"41","N0903","QUARTERLY","meanPertBEAT",0.0524973389990671,0.0425847056069471,4.04354735489446
"42","N0903","QUARTERLY","medianPertBEAT",0.0575444642082842,0.0481500938000936,4.57966345651053
"43","N0904","QUARTERLY","Auto.Arima",0.0525257825022395,0.0421996002317051,3.74289913062038
"44","N0904","QUARTERLY","BSTS",0.0447466954592362,0.0400675425599993,3.54298345369477
"45","N0904","QUARTERLY","ETS",0.0464314688402157,0.0419137209812811,3.62655019449376
"46","N0904","QUARTERLY","THETA",0.0530950706707744,0.0480497473216,4.12051934247303
"47","N0904","QUARTERLY","BEA",0.0430090709814419,0.0391756202178096,3.45594422932234
"48","N0904","QUARTERLY","EAT",0.0429731435717214,0.040637109243573,3.54881698848436
"49","N0904","QUARTERLY","BAT",0.043207727647308,0.0401123755099813,3.52849380665036
"50","N0904","QUARTERLY","BET",0.045749761519472,0.0420537653193546,3.65617939469079
"51","N0904","QUARTERLY","BEAT",0.0430013025070558,0.0404947175726796,3.54735860478697
"52","N0904","QUARTERLY","medianBEAT",0.0436873184395336,0.040854643160387,3.57346822644577
"53","N0904","QUARTERLY","meanBaggedBEAT",0.0583445633642136,0.0453911406554557,4.08185053671483
"54","N0904","QUARTERLY","medianBaggedBEAT",0.0598925696591961,0.047536510879285,4.2576971040728
"55","N0904","QUARTERLY","meanPertBEAT",0.0566830435658786,0.0432515792325498,3.89686799128218
"56","N0904","QUARTERLY","medianPertBEAT",0.0567841899448079,0.0415837728338911,3.76498894724552
"57","N0905","QUARTERLY","Auto.Arima",0.2189308845604,0.201388177642511,17.1729242270556
"58","N0905","QUARTERLY","BSTS",0.233007698242813,0.22810676915041,19.0674270576616
"59","N0905","QUARTERLY","ETS",0.16051893442394,0.134588172658675,11.677276305903
"60","N0905","QUARTERLY","THETA",0.160955224316901,0.151315874576678,12.8099859262855
"61","N0905","QUARTERLY","BEA",0.20063617585174,0.188027706483865,15.9725425302067
"62","N0905","QUARTERLY","EAT",0.178643897279766,0.162430741625955,13.886728819748
"63","N0905","QUARTERLY","BAT",0.202712428864474,0.1936036071232,16.3501124036676
"64","N0905","QUARTERLY","BET",0.181363292338587,0.171336938795254,14.5182297632834
"65","N0905","QUARTERLY","BEAT",0.190516171826645,0.178849748507068,15.1819033792264
"66","N0905","QUARTERLY","medianBEAT",0.190296130148088,0.177150210263359,15.0622382621035
"67","N0905","QUARTERLY","meanBaggedBEAT",0.197654737307713,0.18451566045482,15.6838226085945
"68","N0905","QUARTERLY","medianBaggedBEAT",0.192017462037292,0.17672768973208,15.0664620964074
"69","N0905","QUARTERLY","meanPertBEAT",0.190404353433156,0.177775089918556,15.1080134481532
"70","N0905","QUARTERLY","medianPertBEAT",0.19595470656904,0.181963072710863,15.4825871813931
"71","N0906","QUARTERLY","Auto.Arima",0.0860083396606683,0.0748261098211982,15.395177089057
"72","N0906","QUARTERLY","BSTS",0.054993036111937,0.0451679742709976,9.07070351061058
"73","N0906","QUARTERLY","ETS",0.0860077604954461,0.0748254441031335,15.3950467807265
"74","N0906","QUARTERLY","THETA",0.0693667879434845,0.0565714183445922,11.7704527032894
"75","N0906","QUARTERLY","BEA",0.0654491393051393,0.0484004630017102,10.2290382967218
"76","N0906","QUARTERLY","EAT",0.0802636980872815,0.068740990756308,14.1868921910243
"77","N0906","QUARTERLY","BAT",0.060871806741508,0.0433228969810872,9.20695990754353
"78","N0906","QUARTERLY","BET",0.0608716524810073,0.0433227860280764,9.2069369761943
"79","N0906","QUARTERLY","BEAT",0.0662850188901432,0.0504432018374307,10.6143918983637
"80","N0906","QUARTERLY","medianBEAT",0.0774573737954108,0.0656984312238628,13.5827497420079
"81","N0906","QUARTERLY","meanBaggedBEAT",0.0794924015000417,0.0677352874686324,13.988093493114
"82","N0906","QUARTERLY","medianBaggedBEAT",0.083618041016039,0.0739152026811253,15.1494745903858
"83","N0906","QUARTERLY","meanPertBEAT",0.0898395510136261,0.0783114555213089,16.0936498584953
