"","X","Series","Period","Method","RMSE","MAE","MAPE"
"1",1,"N0001","YEARLY","Auto.Arima",0.225598631043087,0.187817347004803,6.01737827038847
"2",2,"N0001","YEARLY","BSTS",0.258113842286137,0.215548141270554,6.88891725396291
"3",3,"N0001","YEARLY","ETS",0.225119454800392,0.187414064003138,6.00467021923878
"4",4,"N0001","YEARLY","THETA",0.82892533926435,0.721225566044757,23.4457237069258
"5",5,"N0001","YEARLY","BEA",0.23618780143393,0.196926517426165,6.30365524786339
"6",6,"N0001","YEARLY","EAT",0.424781429693897,0.356256710468569,11.3826095720545
"7",7,"N0001","YEARLY","BAT",0.436164080436016,0.367733659294677,11.7774227028073
"8",8,"N0001","YEARLY","BET",0.436000128077947,0.36758497947018,11.7725072279991
"9",9,"N0001","YEARLY","BEAT",0.382986574945753,0.31918756020694,10.1689868502071
"10",10,"N0001","YEARLY","medianBEAT",0.241758715208239,0.201682744137678,6.45314776217569
"11",11,"N0001","YEARLY","meanBaggedBEAT",0.357933358684521,0.2977753988485,9.48136868797448
"12",12,"N0001","YEARLY","medianBaggedBEAT",0.376047384505597,0.313931472651132,10.008027677904
"13",13,"N0001","YEARLY","meanPertBEAT",0.373547578280154,0.310596778821875,9.88552293224937
"14",14,"N0001","YEARLY","medianPertBEAT",0.381176416502266,0.31829599429979,10.1490179879441
"15",15,"N0002","YEARLY","Auto.Arima",0.222994811644947,0.215282201154403,17.3982726075934
"16",16,"N0002","YEARLY","BSTS",0.247470510409611,0.240423230718927,19.4538184464054
"17",17,"N0002","YEARLY","ETS",0.137275025978672,0.116992545460512,9.38095037938677
"18",18,"N0002","YEARLY","THETA",0.153825243913769,0.138925426562246,11.1699788979442
"19",19,"N0002","YEARLY","BEA",0.199645621581879,0.190899325777947,15.4110138111285
"20",20,"N0002","YEARLY","EAT",0.168959102138453,0.157066724392387,12.6497339616415
"21",21,"N0002","YEARLY","BAT",0.206527176698183,0.198210286145192,16.0073566506477
"22",22,"N0002","YEARLY","BET",0.176522013348507,0.165447067580562,13.3349159079121
"23",23,"N0002","YEARLY","BEAT",0.187624663303203,0.177905850974022,14.3507550828324
"24",24,"N0002","YEARLY","medianBEAT",0.18678808580281,0.177103813858324,14.2841257527688
"25",25,"N0002","YEARLY","meanBaggedBEAT",0.232269851294555,0.224381213237756,18.1376212942506
"26",26,"N0002","YEARLY","medianBaggedBEAT",0.210563728187501,0.200883273734602,16.2304298594335
"27",27,"N0002","YEARLY","meanPertBEAT",0.337418239774271,0.331408204805919,26.889947158446
"28",28,"N0002","YEARLY","medianPertBEAT",0.360308435441439,0.353499432014887,28.6922522084202
"29",29,"N0003","YEARLY","Auto.Arima",0.0803704139264229,0.0591590468627929,6.81275421123031
"30",30,"N0003","YEARLY","BSTS",0.159115315388515,0.136614680267195,15.3350769389101
"31",31,"N0003","YEARLY","ETS",0.080365573682166,0.0591540682802949,6.81219314664308
"32",32,"N0003","YEARLY","THETA",0.149623913743329,0.128560240083066,14.4448871111183
"33",33,"N0003","YEARLY","BEA",0.103588968946078,0.0820906980245553,9.36459311756045
"34",34,"N0003","YEARLY","EAT",0.100794546875143,0.0797914873648667,9.10645351058747
"35",35,"N0003","YEARLY","BAT",0.127399863039709,0.105756181358904,11.9618750391569
"36",36,"N0003","YEARLY","BET",0.12739779665622,0.105753692067655,11.9616049765634
"37",37,"N0003","YEARLY","BEAT",0.114501258418198,0.0923386749823545,10.4976189992831
"38",38,"N0003","YEARLY","medianBEAT",0.11216332207285,0.0902067872966821,10.2611691394612
"39",39,"N0003","YEARLY","meanBaggedBEAT",0.0929643984164335,0.0835213626387355,8.76432518417795
"40",40,"N0003","YEARLY","medianBaggedBEAT",0.0925498866398938,0.0802555916072286,8.37047238889633
"41",41,"N0003","YEARLY","meanPertBEAT",0.112416128907024,0.0979536964512819,10.2400953142407
"42",42,"N0003","YEARLY","medianPertBEAT",0.134632336253102,0.120816647542095,12.7006506157251
"43",43,"N0004","YEARLY","Auto.Arima",0.205082051278863,0.177184028022111,10.0970353078143
"44",44,"N0004","YEARLY","BSTS",0.33252638192595,0.248700720052156,14.8306685618
"45",45,"N0004","YEARLY","ETS",0.38333793849824,0.305900335537391,18.1937600660538
"46",46,"N0004","YEARLY","THETA",0.112883024617685,0.0917732297179204,5.28644181273248
"47",47,"N0004","YEARLY","BEA",0.204068597730297,0.160882676879802,9.57074858268712
