"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N0911","QUARTERLY","meanBaggedEAT",0.118311139381325,0.0941701215204288,10.7179747103319
"2","N0912","QUARTERLY","meanBaggedEAT",0.142335195159009,0.127908452025231,23.0539352054382
"3","N0913","QUARTERLY","meanBaggedEAT",0.111874094562271,0.101024615348455,19.1618842155948
"4","N0914","QUARTERLY","meanBaggedEAT",0.0581514439629454,0.0435500839506113,5.74423373414747
"5","N0915","QUARTERLY","meanBaggedEAT",0.323308912246954,0.182100809647273,10.5541058181047
"6","N0916","QUARTERLY","meanBaggedEAT",0.0764388353137254,0.0657804195570266,6.24354339885702
"7","N0917","QUARTERLY","meanBaggedEAT",0.115323074618264,0.0955905530923861,9.34916079862055
"8","N0918","QUARTERLY","meanBaggedEAT",0.20059486090519,0.173252346078844,12.8311003100449
"9","N0919","QUARTERLY","meanBaggedEAT",0.17226644731351,0.144653392360652,13.4419560761648
"10","N0920","QUARTERLY","meanBaggedEAT",0.344291522079785,0.286612140118668,19.9211662172176
