"Period","Method","mRMSE","mMAE","MAPE"
"MONTHLY","Auto.Arima",0.179352654057389,0.149074129210316,21.913327284757
"MONTHLY","BAT",0.173754239771607,0.144262404511173,20.9273127499491
"MONTHLY","BEA",0.174824482368254,0.145248341153883,21.2830583761505
"MONTHLY","BEAT",0.171246443701531,0.142007003230992,20.5855742142992
"MONTHLY","BET",0.173599536447893,0.144097928523442,20.7709683332572
"MONTHLY","BSTS",0.201816945097609,0.169145551562309,25.3932296148741
"MONTHLY","EAT",0.167983290120919,0.138782340771624,19.9440327197852
"MONTHLY","ETS",0.173704014058845,0.143896812375323,20.6976267143733
"MONTHLY","meanBaggedBEAT",0.170395611086606,0.140969606480069,19.4073997545448
"MONTHLY","meanBaggedEAT",0.168525386334717,0.138816923588856,18.8409958241792
"MONTHLY","meanBaggedEAT200",0.166975737782638,0.137564547801648,18.6735098284878
"MONTHLY","meanPertBEAT",0.170928278327231,0.141447433682479,19.8903420970665
"MONTHLY","medianBaggedBEAT",0.169487709467157,0.139951764027036,19.1012965578787
"MONTHLY","medianBEAT",0.170257210458723,0.141017793703365,20.2113993719478
"MONTHLY","medianPertBEAT",0.169168857737462,0.139850847641178,18.893716751178
"MONTHLY","THETA",0.171910989531606,0.141943551112754,19.5617701017724
"OTHER","Auto.Arima",0.0427273855154894,0.0371179293029453,4.82126267690975
"OTHER","BAT",0.0415771746030272,0.0365882650958403,4.67567092912108
"OTHER","BEA",0.0419777480582881,0.0367313926212137,4.72970610123745
"OTHER","BEAT",0.0414265165036683,0.036404064318952,4.66382155782714
"OTHER","BET",0.0421216143019473,0.0370812502377806,4.72400430714189
"OTHER","BSTS",0.0461259348786055,0.0402465022304847,5.12701141841804
"OTHER","EAT",0.0417826191108427,0.0366916728895651,4.72988151824085
"OTHER","ETS",0.0423216146477729,0.0370050471669946,4.79658939132952
"OTHER","meanBaggedBEAT",0.0445926407781915,0.0397118071984218,5.10205453144379
"OTHER","meanBaggedEAT",0.0432712591543964,0.038247252286897,4.90947187067011
"OTHER","meanBaggedEAT200",0.0442099072344591,0.0393108934938197,5.03866578971217
"OTHER","meanPertBEAT",0.0438723885427401,0.0388365300862863,5.00787572586024
"OTHER","medianBaggedBEAT",0.0446831840210988,0.0397346616295515,5.10639920925383
"OTHER","medianBEAT",0.0420405039513031,0.0368350510833602,4.74825362191859
"OTHER","medianPertBEAT",0.0435997637356648,0.0384830387652763,4.96367760895141
"OTHER","THETA",0.0476432907346682,0.0423545784051314,5.46549073768767
"QUARTERLY","Auto.Arima",0.147365470281364,0.126864203765783,13.2291804445789
"QUARTERLY","BAT",0.132876657272763,0.113465726039971,11.8921031360842
"QUARTERLY","BEA",0.139615554537844,0.119509479261084,12.2900783620751
"QUARTERLY","BEAT",0.132344994946118,0.113050153208255,11.8006302948928
"QUARTERLY","BET",0.13132946578083,0.111838977796,11.610214884854
"QUARTERLY","BSTS",0.155959862148043,0.132776536899446,13.6615727133982
"QUARTERLY","EAT",0.131018936321763,0.111977910498826,11.7843579472968
"QUARTERLY","ETS",0.139367221227563,0.119415424269755,12.1527000783308
"QUARTERLY","meanBaggedBEAT",0.134913568379698,0.115587623437695,12.1555417049004
"QUARTERLY","meanBaggedEAT",0.132529342289139,0.113614516489097,11.8963504131255
"QUARTERLY","meanBaggedEAT200",0.133510790281305,0.114515186441154,11.9538811744715
"QUARTERLY","meanPertBEAT",0.134263443172932,0.114697638423861,12.0184780946994
"QUARTERLY","medianBaggedBEAT",0.135303584504397,0.116092768502346,12.1720134265916
"QUARTERLY","medianBEAT",0.134005548176193,0.114511653163891,11.9114081070998
"QUARTERLY","medianPertBEAT",0.13545931305408,0.11570969748332,12.1345472700232
"QUARTERLY","THETA",0.134151039587879,0.115137412995583,11.8459117910564
"YEARLY","Auto.Arima",0.390432436369911,0.338083897813619,22.0709152591235
"YEARLY","BAT",0.351253847058328,0.302848300750172,21.142129906372
"YEARLY","BEA",0.366393831695221,0.316011743779804,21.4578126010235
"YEARLY","BEAT",0.346991452149822,0.299065576759458,20.808885813614
"YEARLY","BET",0.339661684728264,0.29273491896186,20.9104559418198
"YEARLY","BSTS",0.399953628936052,0.345245083876453,24.6491353084064
"YEARLY","EAT",0.341249588084592,0.29380190477184,20.4067967676234
"YEARLY","ETS",0.354166800475176,0.305252479503413,21.0164078095437
"YEARLY","meanBaggedBEAT",0.350781762911277,0.302597567368534,21.427229653823
"YEARLY","meanBaggedEAT",0.347743340561574,0.300143391119722,20.9026367170306
"YEARLY","meanBaggedEAT200",0.345431786153941,0.29810539624487,20.9671836417451
"YEARLY","meanPertBEAT",0.36113547960866,0.312432902825334,21.8182960438853
"YEARLY","medianBaggedBEAT",0.350382341800014,0.302471955658046,21.467529633319
"YEARLY","medianBEAT",0.354047284270817,0.304779132399154,20.9935730403271
"YEARLY","medianPertBEAT",0.360042828359911,0.311655881562283,21.6820141029765
"YEARLY","THETA",0.33139553368441,0.285401829648767,20.9113611247437
