"Method","mRMSE","mMAE","MAPE"
"Auto.Arima",0.208720403618032,0.177592350432154,18.7706066688817
"BAT",0.193929059948589,0.164332439107129,17.7572005025255
"BEA",0.199409547005673,0.169158386461268,18.0974907066757
"BEAT",0.191678467630145,0.16233217470551,17.4994048557447
"BET",0.191007712859197,0.161701055416925,17.5649304244946
"BSTS",0.223808277294684,0.190344615389736,21.1057186553767
"EAT",0.188580291106152,0.15941493926727,17.1077045059277
"ETS",0.196207958234855,0.166196948487064,17.6935870125176
"meanBaggedBEAT",0.192918064235732,0.163427947644911,17.1867056255683
"meanBaggedEAT",0.190699330073808,0.16129558791901,16.7282822967806
"meanBaggedEAT200",0.189767411566554,0.160550693058985,16.6844713617438
"meanPertBEAT",0.195189785029652,0.165492883284839,17.4603893702329
"medianBaggedBEAT",0.192503977184517,0.163045452727726,17.0542003699817
"medianBEAT",0.193177168497656,0.163481870957797,17.3939239338441
"medianPertBEAT",0.194403713852856,0.164801076950324,16.9838575615042
"THETA",0.189459584013935,0.160237479846694,17.0924210233723
